,en,fa,enFreq
0,for,برای,0.00456409362230769
1,that,که,0.00261540854076923
2,this,این,0.00248343828538461
3,with,با,0.00244854667307692
4,you,شما,0.00230475463461538
5,are,هستند,0.0018412422076923
6,from,از,0.00175045796615384
7,your,شما,0.00158620503615384
8,all,همه,0.00155573834461538
9,new,تازه,0.00119327587923076
10,more,بیشتر,0.00118828590230769
11,was,بود,0.00114109898307692
12,will,خواهد,0.00104330280076923
13,home,خانه,0.000982193976923076
14,about,درباره,0.000943641543076923
15,page,صفحۀ,0.00083240133076923
16,has,دارد,0.000804861526153846
17,search,جستجو,0.000787763936923076
18,free,آزاد,0.00078008255076923
19,but,ولی,0.00076915358
20,our,ما,0.00076827537076923
21,one,یگانه,0.000764258946923076
22,other,دیگر,0.000752677937692307
23,information,معلومات,0.000717380297692307
24,time,تایم,0.000699004284615384
25,they,اونا,0.000679402935384615
26,site,سایت,0.000649469416923077
27,may,تا,0.000636786178461538
28,what,چی,0.000624919678461538
29,which,کدام,0.000623472373076923
30,news,اخبار,0.00058109614076923
31,out,بیرون,0.000570462963076923
32,any,هر,0.000546724071538461
33,there,آنجا,0.000539361696153846
34,see,دیدن,0.00052416183076923
35,only,تنها,0.000509110856923076
36,his,او,0.000507829023846153
37,when,وقتی,0.000500477829230769
38,contact,تماس,0.000496787833846153
39,here,اینجا,0.000492085536923076
40,business,کسب,0.000490103213076923
41,who,که,0.000485328675384615
42,web,تار,0.000476593519230769
43,also,همچنین,0.000474484416923076
44,now,اکنون,0.000470298258461538
45,help,کمک,0.000470041564615384
46,get,شو,0.000466141929230769
47,view,نمای,0.000463291795384615
48,online,برخط,0.000462551583846153
49,first,اول,0.000444739648461538
50,been,شده,0.000442322601538461
51,how,چطور,0.000439883138461538
52,were,بودند,0.00043899966
53,services,خدمات,0.000432466772307692
54,some,برخی,0.000422176503076923
55,these,اینا,0.000416156909230769
56,click,کلیک,0.000412881864615384
57,like,مثل,0.00040045022076923
58,service,خدمت,0.000399644016923076
59,find,یافتن,0.000386186952307692
60,price,قیمتی,0.000385885558461538
61,date,تاریخ,0.000376128749230769
62,back,باز,0.00037540316076923
63,top,اوج,0.000372472131538461
64,people,مردم,0.000369464135384615
65,list,فهرست,0.000363531262307692
66,name,نام,0.000357332847692307
67,just,فقط,0.000356027822307692
68,state,حالت,0.00034854164076923
69,year,سال,0.000346994294615384
70,day,روزی,0.000343258575384615
71,two,دوتا,0.00033953726076923
72,health,بهداشت,0.00033878187
73,world,جهانی,0.000332257114615384
74,next,بعدی,0.000327617959230769
75,work,کاری,0.00032267996
76,last,اخرین,0.000321232012307692
77,most,بیشترین,0.000320161854615384
78,products,محصولاتی,0.000318752024615384
79,music,موسیقی,0.00031848372076923
80,buy,بخرید,0.00031598475076923
81,make,را,0.00031160357076923
82,them,آنان,0.000310000316153846
83,product,محصول,0.00030701258076923
84,system,سامانه,0.000305365398461538
85,post,پست,0.000302274181538461
86,her,او,0.000301508508461538
87,city,سیتی,0.000300434488461538
88,add,افزودن,0.000297870568461538
89,policy,سیاست,0.000295693744615384
90,number,شمارۀ,0.000295221388461538
91,available,موجود,0.000292034182307692
92,support,پشتیبانی,0.00028731736076923
93,message,پیغام,0.00028698557076923
94,best,بهتر,0.000286040575384615
95,software,نرمافزار,0.000285013106153846
96,then,پس,0.000284560723846153
97,jan,یان,0.000281873995384615
98,good,خوبی,0.000281381843076923
99,video,ویدئویی,0.000281084628461538
100,well,خب,0.000278525196153846
101,where,کجای,0.000277283337692307
102,info,اطلاعات,0.000271048506153846
103,rights,حقوق,0.000270808724615384
104,public,عمومی,0.000268681633076923
105,books,کتابهای,0.000267469372307692
106,high,رفیع,0.000265702428461538
107,school,مدرسه,0.000263890243076923
108,each,هرکدوم,0.000262225273846153
109,links,پیوندهای,0.000261481954615384
110,she,او,0.000260901063076923
111,review,مرور,0.000260821367692307
112,years,سالها,0.00025987793
113,order,ترتیب,0.000258947066923076
114,very,بسیار,0.00025763336
115,privacy,خلوت,0.000256363405384615
116,book,کتاب,0.000254584576153846
117,items,موارد,0.000254234865384615
118,company,گروهان,0.000249440198461538
119,read,خواندن,0.000247947512307692
120,group,گروپ,0.000247571526153846
121,sex,جنسی,0.000246235383846153
122,need,نیازمند,0.000245674563076923
123,many,بسیار,0.00024535880076923
124,user,کاربر,0.000243420176153846
125,said,گفت,0.000242765583846153
126,does,بکند,0.000241552927692307
127,set,تنظیم,0.000241130454615384
128,under,تحت,0.000240997246923076
129,general,ژنرال,0.000239813686923076
130,research,تحقیقات,0.000239644909230769
131,university,دانشگاه,0.000239518412307692
132,january,ژانویه,0.00023872759
133,mail,نامه,0.000238720911538461
134,full,کاملش,0.00023840706076923
135,map,نقشه,0.000238212754615384
136,reviews,نقدهای,0.000236680079230769
137,program,برنامۀ,0.000235913063846153
138,life,زندگى,0.000235814773076923
139,know,بدانند,0.000235462163846153
140,games,بازیهای,0.000235331458461538
141,way,راه,0.000235012003076923
142,days,روزای,0.00023472907
143,management,مدیریت,0.000234000951538461
144,part,قسمت,0.000232868694615384
145,could,میتوانست,0.000232547254615384
146,great,عالیه,0.000231913407692307
147,united,یونایتد,0.00023021551
148,hotel,هتل,0.000229211376923076
149,real,حقیقی,0.000228980379230769
150,item,فقره,0.000228103796153846
151,international,بینالمللی,0.00022741477
152,center,سنتر,0.000226399321538461
153,must,باید,0.00022521132
154,store,ذخیره,0.000224083776923076
155,travel,مسافرت,0.000221322533846153
156,comments,نظرات,0.000221198806153846
157,development,توسعه,0.000220224162307692
158,report,گزارش,0.000220182593846153
159,off,خاموش,0.000218488994615384
160,member,عضو,0.000218352994615384
161,details,جزئیات,0.000216021416153846
162,line,خط,0.000215391997692307
163,terms,شرایط,0.00021361993076923
164,before,پیش,0.000213496937692307
165,hotels,هتلهای,0.000211931474615384
166,send,ارسال,0.000210848913076923
167,type,نوع,0.000209489891538461
168,because,چون,0.000208710758461538
169,local,محلی,0.000208263796153846
170,results,نتایج,0.000206292956153846
171,office,دفتر,0.000205222786153846
172,education,تحصیلات,0.000205183129230769
173,national,ملی,0.000204905092307692
174,car,خودروی,0.000203631056923076
175,design,طرح,0.000203421799230769
176,take,بگیرد,0.00020334600076923
177,posted,پست,0.000202962516923076
178,internet,اینترنتی,0.000202905573076923
179,address,نشانی,0.000201440666153846
180,community,ملتی,0.000201414705384615
181,area,مساحت,0.000199901197692307
182,phone,تلفن,0.000197418316923076
183,shipping,کشتیرانی,0.000197324098461538
184,reserved,رزرو,0.000197263903076923
185,subject,فاعل,0.000197090644615384
186,between,بین,0.000196489767692307
187,forum,فورم,0.000195752446923076
188,family,خانواده,0.000195510811538461
189,long,لانگ,0.000194245836923076
190,code,کد,0.000192496246923076
191,show,نمایش,0.000190416912307692
192,even,حتى,0.000188998231538461
193,black,بلک,0.000188223196153846
194,check,بررسی,0.000188070069230769
195,special,خاصه,0.000187932185384615
196,prices,قیمتها,0.000187258252307692
197,website,وبگاه,0.000186827863076923
198,index,شاخص,0.00018678942
199,being,بودن,0.000186756223846153
200,women,زنان,0.000186554196153846
201,much,زیاد,0.000186404846153846
202,sign,علامت,0.000186377367692307
203,file,پرونده,0.000186049423846153
204,link,لینک,0.000184925117692307
205,open,باز,0.000184361793076923
206,today,امروز,0.000184054772307692
207,technology,تکنولوژی,0.000183595612307692
208,south,ساوت,0.000183523948461538
209,case,مورد,0.000181202307692307
210,project,پروژه,0.000180971226153846
211,same,همون,0.000180632757692307
212,pages,صفحات,0.000180000856923076
213,version,نسخه,0.000178804579230769
214,section,بخش,0.00017865535076923
215,sports,اسپورت,0.000178357123076923
216,house,خانه,0.000177931092307692
217,related,مربوط,0.000177790363076923
218,security,امنیت,0.00017693386076923
219,both,هردو,0.000175883493076923
220,county,کانتی,0.000175051825384615
221,american,امریکن,0.000175026906153846
222,photo,عکس,0.00017471173
223,game,بازی,0.000174701157692307
224,members,اعضا,0.000174350886923076
225,power,قدرت,0.000174304898461538
226,care,مراقبت,0.00017332826076923
227,network,شبکه,0.000173245377692307
228,down,پایین,0.000173012226153846
229,computer,کامپیوتر,0.000172443882307692
230,systems,سیستمها,0.000171966088461538
231,three,سه,0.000171859533846153
232,total,کلا,0.000171268814615384
233,place,محل,0.000169977103846153
234,end,پایان,0.000169855636923076
235,following,ذیل,0.000169776865384615
236,download,بارگیری,0.000169712406153846
237,him,او,0.000168858479230769
238,without,بى,0.000168607773076923
239,per,پر,0.000168419734615384
240,think,فکر,0.000167581961538461
241,north,شمالی,0.000167545779230769
242,resources,منابع,0.000167129716923076
243,current,جریان,0.000166913182307692
244,posts,پستها,0.000166786252307692
245,big,بیگ,0.000166685035384615
246,media,رسانه,0.000166486546153846
247,law,حقوق,0.000166248066923076
248,control,کنترل,0.000165815733076923
249,water,آب,0.000165521913846153
250,history,تاریخ,0.000165385011538461
251,pictures,پیکچرز,0.000165383013846153
252,size,اندازۀ,0.000165264733076923
253,art,هنر,0.00016515592
254,personal,شخصی,0.000165132236153846
255,guide,هدایت,0.000164137543846153
256,shop,فروشی,0.000163687575384615
257,board,تخته,0.00016335466076923
258,location,محل,0.000162494871538461
259,change,تغییر,0.000162000956923076
260,white,سپید,0.000161433637692307
261,text,متن,0.000160600061538461
262,small,کوچکی,0.00016028606
263,rating,ارزیابی,0.000159891301538461
264,rate,نرخ,0.000159718599230769
265,government,دولت,0.000158909748461538
266,children,فرزندان,0.000158875466923076
267,return,بازگشت,0.00015817674076923
268,students,دانشجویان,0.000157539386153846
269,shopping,خرید,0.000157003288461538
270,account,حساب,0.000156624114615384
271,times,زمانهای,0.000156116061538461
272,sites,یونسکو,0.000155965949230769
273,level,تراز,0.000155818186153846
274,digital,دیجیتالی,0.000155651359230769
275,profile,نمایه,0.00015527288076923
276,previous,پیشین,0.000155148213846153
277,form,فرم,0.000154919378461538
278,events,رویدادهای,0.000154796503076923
279,love,عشقی,0.00015466425076923
280,old,پیر,0.000153610943076923
281,john,یوحنا,0.000153571264615384
282,main,اصلی,0.000153551349230769
283,call,بخوانید,0.000153545283846153
284,hours,ساعتها,0.000152494541538461
285,image,نگاره,0.000152210986923076
286,department,بخش,0.000151764096153846
287,description,شرح,0.000151000957692307
288,non,غیر,0.000150853497692307
289,insurance,بیمه,0.000148670225384615
290,another,دیگری,0.000148104423076923
291,why,چرا,0.000147692824615384
292,property,ویژگی,0.000147525686923076
293,class,کلاس,0.000146990593076923
294,still,هنوزم,0.000146487297692307
295,money,پولی,0.000146311593846153
296,quality,کیفیتی,0.000145776563846153
297,every,هر,0.0001456353
298,content,محتوا,0.000145292688461538
299,country,کشور,0.000145147052307692
300,private,شخصی,0.000144527598461538
301,little,اندکی,0.000143955783846153
302,visit,بازدید,0.000143894089230769
303,save,ذخیره,0.000143146996153846
304,tools,ابزارها,0.000142735287692307
305,low,کم,0.000142165752307692
306,reply,پاسخ,0.000142136916923076
307,customer,مشتری,0.000141851452307692
308,december,دسامبر,0.000140951722307692
309,compare,مقایسه,0.000140925296153846
310,movies,فیلم,0.000140568897692307
311,include,شامل,0.000140445596153846
312,college,کالج,0.000140419558461538
313,article,مقاله,0.000139976426923076
314,york,یورک,0.00013965858076923
315,man,مَرد,0.000139573485384615
316,card,ورق,0.000139528493846153
317,jobs,جابز,0.000139288926923076
318,provide,فراهم,0.000139262303076923
319,food,غذایی,0.00013857233
320,source,مبدأ,0.000138433758461538
321,author,مؤلف,0.000138318035384615
322,different,متفاوت,0.000138303249230769
323,press,فشار,0.000138194407692307
324,learn,یادگیری,0.000138021758461538
325,sale,حراج,0.000137865053846153
326,around,اطراف,0.000137546179230769
327,print,چاپ,0.000137116055384615
328,course,دوره,0.000136905116923076
329,job,شغل,0.000136697637692307
330,canada,کانادا,0.00013627227076923
331,process,فرایند,0.000136022443846153
332,teen,تین,0.000135616527692307
333,room,اتاق,0.000135615311538461
334,stock,موجودی,0.000135611991538461
335,training,تعلیم,0.000135483964615384
336,too,همچنین,0.00013545635
337,credit,اعتباری,0.000135320412307692
338,point,پوینت,0.00013502143
339,join,بپیوندید,0.000134075232307692
340,science,علمی,0.000134025237692307
341,men,مردها,0.000133891082307692
342,advanced,پیشرفته,0.000133401662307692
343,west,وست,0.000133343744615384
344,sales,فروش,0.000133264784615384
345,look,ببین,0.000133110001538461
346,english,انگلیسی,0.000132593496923076
347,left,چپ,0.000132117408461538
348,team,تیمی,0.000132067557692307
349,estate,املاک,0.000130197113846153
350,box,باکس,0.00013017792076923
351,conditions,شرایط,0.000129966927692307
352,select,انتخاب,0.000129748496153846
353,windows,ویندوز,0.000129640114615384
354,photos,عکس,0.00012909804076923
355,gay,همجنسگرایی,0.000128913685384615
356,thread,نخ,0.000128860413076923
357,week,هفتۀ,0.000128616969230769
358,category,مقوله,0.000128316883076923
359,note,یادداشت,0.000128197949230769
360,large,درشت,0.00012758751
361,gallery,گالری,0.000127439712307692
362,table,میز,0.000127185732307692
363,register,ثبات,0.000126795724615384
364,however,هرچند,0.000126120904615384
365,june,ژوئن,0.000126116766923076
366,october,اکتبر,0.000125663887692307
367,november,نوامبر,0.000125621833076923
368,market,مارکت,0.0001249155
369,library,کتابخانه,0.00012467415
370,really,واقعآ,0.000124641069230769
371,action,اکشن,0.000124633408461538
372,start,شروع,0.000124548775384615
373,series,سری,0.000124245043846153
374,model,مدل,0.000124004415384615
375,features,ویژگیهای,0.000123816221538461
376,air,ایر,0.000123731077692307
377,industry,صنایع,0.000123702017692307
378,plan,تدبیر,0.000123650956923076
379,human,بشر,0.000123518267692307
380,provided,روزی,0.000122912191538461
381,required,نیاز,0.000122676132307692
382,second,دومی,0.000122571845384615
383,hot,داغ,0.000122528599230769
384,accessories,لوازم,0.000122294074615384
385,cost,هزینه,0.000122220966153846
386,movie,فیلمی,0.000121862384615384
387,march,راهپیمایی,0.000121754822307692
388,september,سپتامبر,0.000120909426923076
389,better,بهتر,0.00012083029076923
390,say,بگو,0.000120650205384615
391,questions,سؤالات,0.000120541316923076
392,july,ژوئیه,0.00012051348076923
393,yahoo,یاهو,0.000119795108461538
394,going,میرم,0.000119449293076923
395,medical,طبی,0.000119426536153846
396,test,آزمایش,0.000119230451538461
397,friend,دوستی,0.000118867019230769
398,come,بیاید,0.000118712399230769
399,dec,دکلان,0.000118693158461538
400,server,سرور,0.00011829888
401,study,تحصیل,0.000117675656923076
402,application,کاربردی,0.000117520457692307
403,cart,چرخ,0.00011704252076923
404,staff,عصای,0.000116579369230769
405,articles,مقالات,0.00011656248076923
406,san,سن,0.000116423382307692
407,feedback,بازخورد,0.00011616006076923
408,again,دوباره,0.000115985704615384
409,play,بازی,0.000115960256153846
410,looking,نظاره,0.000115853981538461
411,issues,مسائل,0.000115466364615384
412,april,آوریل,0.000115366743846153
413,never,هیچوقت,0.00011504366
414,users,کاربران,0.000114861718461538
415,complete,تکمیل,0.000114855566923076
416,street,خیابانی,0.000114715964615384
417,topic,مبحث,0.000114616693846153
418,comment,توضیح,0.000114329791538461
419,financial,مالی,0.000114100197692307
420,things,اوضاع,0.000113822994615384
421,working,کار,0.00011359688
422,standard,استاندارد,0.00011321324
423,tax,مالیاتی,0.000113005116153846
424,person,شخص,0.00011288419076923
425,below,زیر,0.000112078176153846
426,mobile,متحرک,0.000111915406923076
427,less,کمتر,0.000111869343846153
428,blog,بلاگ,0.000111570327692307
429,party,جشن,0.000111313461538461
430,payment,دستمزد,0.00011126628
431,equipment,تجهیزات,0.000110998644615384
432,student,محصل,0.000110453973076923
433,let,بزار,0.000110048029230769
434,offers,توجیه,0.000109298391538461
435,legal,مجاز,0.000109268285384615
436,above,فراز,0.000109149707692307
437,recent,اخیر,0.00010905056076923
438,park,پارک,0.000108883693846153
439,side,طرف,0.000108581056153846
440,act,عمل,0.000108520157692307
441,problem,مسئله,0.000108470787692307
442,red,رد,0.000108307332307692
443,give,بده,0.000108222001538461
444,memory,حافظه,0.00010806141
445,performance,عملکرد,0.000107469692307692
446,social,سوسیال,0.00010735875
447,august,اوت,0.000107276859230769
448,quote,نقل,0.000107109404615384
449,language,زبان,0.000106552301538461
450,story,داستان,0.000106487545384615
451,sell,فروش,0.000105920471538461
452,experience,تجربه,0.000105488201538461
453,create,ایجاد,0.000105439324615384
454,key,کلید,0.000105279103846153
455,body,بدنی,0.000105046801538461
456,young,جوان,0.000104878218461538
457,america,امریکا,0.000104780559230769
458,important,مهمند,0.000104694965384615
459,field,حوزه,0.000104068569230769
460,few,چند,0.000103948203076923
461,east,شرق,0.00010387468076923
462,paper,کاغذ,0.000103799558461538
463,single,تکی,0.000103657079230769
464,age,عصر,0.000102096743846153
465,activities,فعالیتها,0.00010206553076923
466,club,کلاب,0.000101868073076923
467,example,مثال,0.000101822501538461
468,girls,دختران,0.000101788766153846
